PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Primary % CPE Inhibition @ 20 uM (Rep 1),Primary % CPE Inhibition @ 20 uM (Rep 2)
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_UNIT,,,,,,,,PERCENT,PERCENT
176,17506765,773259,C1COCCN1C(=S)NC2=CC(=C(C=C2)Cl)Cl,Inactive,0,,,0.19,0
177,22415651,1342459,CC1=C(OC2=CC=CC=C12)C(=O)NC(=S)NC3=CC=C(C=C3)NC(=O)C,Inactive,0,,,0,0
178,17506927,5730777,COC1=C(C=C(C=C1)N/C=C\C(=O)C2=CC=C(C=C2)Br)OC,Inactive,0,,,0.25,0
179,22404195,1342718,CCC(=O)NC1=CC=C(C=C1)NC(=S)NC(=O)C2=C(C3=CC=CC=C3O2)C,Inactive,2,,,4.27,0
180,22404248,883514,CCOC1=CC=CC(=C1)C(=O)NC(=S)NC2=CC=CC=C2,Inactive,0,,,0,1.23
181,22404194,2178291,COC1=CC=C(C=C1)CN2C(=O)/C(=C/C3=CC=NC=C3)/SC2=S,Inactive,0,,,0,0
182,22404210,883594,C1CN(CCN1CC2=CC=CC=C2)C(=S)NC3=CC=CC=C3Cl,Inactive,0,,,0.87,0.06
183,22404214,1716232,CCCOC1=CC=CC(=C1)C(=O)NC(=S)NC2=CC=CC=C2,Inactive,0,,,0.64,0
184,22404213,818779,CC1=CC(=C(N1C2=CC=CC(=C2C)C(=O)OC)C)C=O,Inactive,0,,,0,0
185,22404207,883668,CN(C)C1=CC=C(C=C1)NC(=S)NC(=O)C2=CC(=CC=C2)OC,Inactive,0,,,0,0
186,22404203,2903056,CC(CNC(=O)C1=CC=C(C=C1)C(C)(C)C)CN(C)C.Cl,Inactive,0,,,0.3,0
187,22403778,883780,C1CN(CCN1C2=CC=CC=N2)C(=O)C3=CC(=CC=C3)[N+](=O)[O-],Inactive,0,,,0,0
188,22403780,883795,CC1=C(C=CC(=C1)OCC(=O)NC2CCCCC2)Cl,Inactive,0,,,0,0.4
189,22404200,883810,CC1=CC=CC=C1OCCC(=O)NC2=C(C=C(C=C2)Cl)F,Inactive,0,,,0,0
