PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,HEK293_PLD2_Mean,HEK293_PLD2[1],HEK293_PLD2[2],HEK293_PLD2[3],HEK293_PLD2[4],HEK293_PLD2[5],HEK293_PLD2[6]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
42,126496565,46938538,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,11U3_lib_28,56.9985,63.8281,60.3243,46.843,,,
43,126496566,53469909,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Active,100,,11XF_lib_28,48.078,46.0674,59.1495,39.0171,,,
44,126496567,53469911,C1CN(CCC1C(=O)NC2=CC=CC=C2)CCNC(=O)C3=CC4=CC=CC=C4C=C3.C(=O)(C(F)(F)F)O,Inactive,0,,11TK_lib_28,106.487,106.381,110.702,102.379,,,
45,126496568,53469913,C1CN(CCC1C(=O)NCC2=CC=C(C=C2)Cl)CCNC(=O)C3=CC4=CC=CC=C4C=C3.C(=O)(C(F)(F)F)O,Inactive,0,,11K9_lib_28,106.226,116.693,102.952,99.0319,,,
46,126496569,53469915,C1CN(CCC1C(=O)NCCC2=CC=CC=N2)CCNC(=O)C3=CC4=CC=CC=C4C=C3.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,11UV_lib_28,100.229,104.398,92.9718,103.316,,,
47,126496570,53469917,C1CC1CNC(=O)C2CCN(CC2)CCNC(=O)C3=CC4=CC=CC=C4C=C3.C(=O)(C(F)(F)F)O,Inactive,0,,11TJ_lib_28,108.497,122.015,103.471,100.007,,,
48,126496572,53469921,C1CN(CCC1C(=O)NCCCN2CCOCC2)CCNC(=O)C3=CC4=CC=CC=C4C=C3.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,10DM_lib_28,125.345,130.497,116.059,129.48,,,
49,126496573,46939578,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,1045_lib_28,72.0385,75.4605,72.3273,68.3277,,,
50,126496574,53469923,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,103V_lib_28,45.1517,48.539,42.6375,44.2788,,,
51,126496575,46939875,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)Cl)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,10DP_lib_28,65.4397,60.829,60.0377,75.4523,,,
