PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_uM,Max_CL95,Min_CL95,value_at_20.000000_uM,value_at_2.000000_uM,value_at_0.500000_uM,value_at_0.200000_uM,value_at_0.020000_uM,value_at_0.002000_uM,value_at_0.000200_uM,value_at_0.000020_uM,value_at_20.417379_uM,value_at_2.041738_uM,value_at_1.000000_uM,value_at_0.204174_uM,value_at_0.100000_uM,value_at_0.020417_uM,value_at_0.002042_uM,value_at_0.000204_uM,value_at_0.000002_uM
89,126496737,53470186,CC1=CC=C(C=C1)C(=O)N[C@@H](C)CN2CCC(CC2)N3C4=C(C(=CC=C4)F)NC3=O.C(=O)(C(F)(F)F)O,Active,100,,EVU,0.222,0.151,0.328,,16.561,,50.2404,91.5562,104.754,95.2461,,,,,,,,,,
90,126496722,53470161,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Active,100,,F0J,0.02,0.011,0.034,,12.1167,,23.0632,45.8171,97.9521,102.048,,,,,,,,,,
91,126496720,53470157,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,F18,0.088,0.048,0.159,,9.88664,,24.6526,93.61,99.3656,100.634,,,,,,,,,,
92,126496721,53470159,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC(=C(C=C4)Cl)Cl.C(=O)(C(F)(F)F)O,Active,100,,F57,0.023,0.012,0.042,,3.82806,,19.2703,59.2558,90.245,109.755,,,,,,,,,,
93,126496757,53470213,CC1=CC=C(C=C1)C(=O)N[C@@H](C)CN2CCC(CC2)N3C4=C(C=CC(=C4)F)NC3=O.C(=O)(C(F)(F)F)O,Active,100,,EW4,0.008,0.004,0.016,,,,8.39291,27.5871,84.7749,102.883,97.1166,,,,,,,,,
94,126496753,53470207,C[C@@H](CN1CCC(CC1)N2C3=C(C=CC(=C3)F)NC2=O)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,EWR,0.002,0.001,0.003,,,,5.01858,16.5885,48.136,85.6146,100,,,,,,,,,
95,126496754,53470209,C[C@@H](CN1CCC(CC1)N2C3=C(C=CC(=C3)F)NC2=O)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Active,100,,EXW,0.005,0.003,0.007,,,,6.09947,22.9739,71.4752,94.261,100,,,,,,,,,
96,126496747,53470047,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,EWE,0.008,0.005,0.013,,,,14.5149,28.1036,80.875,100.58,100,,,,,,,,,
97,126496746,53470198,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Active,100,,EWT,0.003,0.002,0.005,,,,6.54582,20.335,57.5991,96.4545,100,,,,,,,,,
98,126496755,53470211,C[C@@H](CN1CCC(CC1)N2C3=C(C=CC(=C3)F)NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,EXE,0.003,0.002,0.005,,,,13.2794,19.751,55.8301,95.8629,100,,,,,,,,,
99,126496756,53470212,C[C@@H](CN1CCC(CC1)N2C3=C(C=CC(=C3)F)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,EXF,0.012,0.006,0.024,,,,23.8682,39.2708,80.4741,99.7143,100.286,,,,,,,,,
100,126496750,53470202,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)F)NC2=O)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,EX1,0.011,0.005,0.022,,,,8.68035,36.0802,62.3534,76.7347,100,,,,,,,,,
101,126496751,53470203,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)F)NC2=O)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Active,100,,EXQ,0.012,0.006,0.024,,17.1525,,22.3918,34.9655,79.5647,99.3104,100,,,,,,,,,
102,126496752,53470205,C[C@@H](CN1CCC(CC1)N2C3=C(C=CC(=C3)F)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,EXR,0.004,0.002,0.006,,,,3.32707,27.553,54.4469,88.0548,100,,,,,,,,,
103,126496749,53470201,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)F)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,EW3,0.007,0.004,0.014,,,,12.2626,25.4162,74.7872,89.7615,100,,,,,,,,,
104,126496745,53470197,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,EX5,0.01,0.007,0.016,,,,12.7534,30.2327,92.2886,100.44,100,,,,,,,,,
105,126496744,53470196,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,EXA,0.006,0.004,0.01,,,,12.0097,26.0498,70.6506,93.7862,100,,,,,,,,,
106,126496748,53470199,CC1=CC=C(C=C1)C(=O)N[C@@H](C)CN2CCC(CC2)N3C4=C(C=C(C=C4)Cl)NC3=O.C(=O)(C(F)(F)F)O,Active,100,,EXX,0.011,0.008,0.015,,,,12.5888,32.6739,88.5272,101.809,98.1912,,,,,,,,,
107,126496728,53470173,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CN=CC=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,F0V,0.085,0.057,0.127,,15.4692,,29.9897,77.2178,99.1419,100,,,,,,,,,,
108,126496727,53470171,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O,Active,100,,F16,0.19,0.107,0.339,,13.3666,,43.4307,107.294,100.209,92.4975,,,,,,,,,,
109,126496729,53470175,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC=C(C=C4)C(F)(F)F.C(=O)(C(F)(F)F)O,Active,100,,F1G,0.121,0.076,0.165,,12.9058,,34.1928,80.794,93.4576,100,,,,,,,,,,
110,126496726,53470169,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)COC4=CC=CC=C4.C(=O)(C(F)(F)F)O,Active,100,,F7Q,0.002,0.002,0.004,,12.1884,,16.288,21.3103,65.2155,100,,,,,,,,,,
111,126496688,53470115,COC1=C(C=CC(=C1)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC=CC=C4)N.C(=O)(C(F)(F)F)O,Active,50,,FK5,5.9,3.773,9.168,26.3718,69.6516,,90.9614,97.2154,102.785,,,,,,,,,,,
112,126496690,53470118,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C#CC4=CC=CC=C4.C(=O)(C(F)(F)F)O,Active,50,,FKB,2.13,0.838,5.428,15.23,51.0476,,118.144,98.9666,101.033,,,,,,,,,,,
113,126496700,53470134,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5S4.C(=O)(C(F)(F)F)O,Active,100,,FKC,0.15,0.076,0.296,11.3488,20.4994,,49.9209,85.2093,100,,,,,,,,,,,
114,126496691,53470119,C1CC2=CC=CC=C2CC1C(=O)NCCN3CCC4(CC3)C(=O)NCN4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,50,,FKF,4.25,2.312,7.824,27.3044,63.419,,87.5002,100.071,99.9295,,,,,,,,,,,
115,126496652,53470048,C[C@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Active,100,,JV2,0.002,0.001,0.003,,,,7.16995,13.0305,48.4821,78.1407,100,,,,,,,,,
116,126496650,53470046,C[C@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4,Active,100,,JVF,0.06,0.045,0.081,,6.11595,,18.4113,79.2656,92.8648,100,,,,,,,,,,
117,126496651,53470047,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,JW5,0.028,0.02,0.039,,8.6395,,13.5905,58.5479,90.8204,100,,,,,,,,,,
118,126496649,53470044,C[C@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,JVN,0.413,0.311,0.548,2.74621,13.7199,,69.6749,95.1285,99.0592,,,,,,,,,,,
119,112378961,46939577,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,,JWJ,1.5,0.968,2.207,5.97185,40.0997,,94.8184,94.799,100,,,,,,,,,,,
120,126496653,53470050,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,,JXQ,2.5,1.786,3.399,16.8256,51.5867,,83.1924,94.6709,100,,,,,,,,,,,
121,126496648,53470042,C[C@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,JXV,0.002,0.002,0.003,,-0.410612,,0.275994,10.8161,59.8976,100,,,,,,,,,,
122,126496616,53469980,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=NC(=CC=C4)F.C(=O)(C(F)(F)F)O,Active,100,,M2Q,0.19,0.136,0.276,0.975847,16.3643,,46.3955,79.5236,100,,,,,,,,,,,
123,126496622,53469992,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CSC=N4.C(=O)(C(F)(F)F)O,Active,100,,M41,0.033,0.023,0.046,0.0718,4.40805,,20.6752,56.4883,84.9432,100,,,,,,,,,,
124,126496632,53470012,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=C(C=C(C=N4)F)F.C(=O)(C(F)(F)F)O,Active,50,,M4Y,20,15.73,25.15,51.3168,83.0714,,100,100,100,,,,,,,,,,,
125,126496628,53470004,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=NC(=CC=C4)F.C(=O)(C(F)(F)F)O,Active,50,,M2X,12,6.8,22.94,37.1851,87.7535,,114.6,94.9446,90.4555,,,,,,,,,,,
126,126496644,53470036,C[C@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC(=C(O4)Br)Br.C(=O)(C(F)(F)F)O,Active,100,,N71,0.33,0.249,0.448,1.58367,13.7364,,61.025,84.3166,100,,,,,,,,,,,
127,126496645,46938431,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,NLP,0.21,0.179,0.245,3.54779,9.85971,,51.5423,94.0933,100,,,,,,,,,,,
128,126496646,53470038,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CN=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,50,,NM2,17,10.07,28.42,48.8595,83.2754,,84.5833,93.0393,100,,,,,,,,,,,
129,126496556,53469901,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,RD4,0.01,0.007,0.016,0,0,,0,39.5015,78.3576,100.411,99.5889,,,,,,,,,
130,126496591,53469948,CN1C2=CC=CC=C2N(C1=O)C3CCN(CC3)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,,115V,1.5,1.04,2.202,10.8147,39.9262,,94.8776,97.0186,100,,,,,,,,,,,
131,126496596,53469958,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,11WU,0.104,0.057,0.19,8.965,10.2887,,36.1196,71.9148,100,,,,,,,,,,,
132,126496595,53469956,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,11X4,0.031,0.024,0.04,,2.166,,14.3853,58.444,84.6017,100,,,,,,,,,,
133,126496588,53469942,CC(C)[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Active,100,,T8L,0.007,0.004,0.013,,3.47721,,12.8101,30.016,79.7,100,,,,,,,,,,
134,126496610,46938429,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,50,,T82,10,5.591,19.13,37.7383,65.1354,,90.1234,88.1752,100,,,,,,,,,,,
135,126496604,46939877,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,50,,TLN,14,7.875,26.57,40.4178,87.4576,,85.9281,113.071,95.5209,91.4082,,,,,,,,,,
136,126496609,53469971,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,,T83,2.7,1.394,5.384,14.1263,57.0887,,100.436,101.715,98.2854,,,,,,,,,,,
137,126496608,46939673,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,,T8C,5.9,3.417,10.24,11.818,85.3222,,112.588,96.0427,91.3689,,,,,,,,,,,
138,126496602,46939580,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,,TM9,1.7,1.467,2.005,7.9811,44.8928,,95.5346,100.196,99.8035,,,,,,,,,,,
139,126496603,53469966,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,,TP6,2,1.45,2.707,8.71091,50.3823,,89.0914,102.392,97.6079,,,,,,,,,,,
140,126496611,46938540,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,50,,T84,2.66,1.303,5.412,25.5036,46.3734,,74.9933,87.7245,91.4722,100,,,,,,,,,,
141,126496613,53469974,CC(C)[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,,T8N,5.6,3.847,8.309,21.9093,74.2493,,96.9464,98.89,101.11,,,,,,,,,,,
142,126496605,46938536,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,TPH,0.29,0.205,0.404,5.43576,19.1116,,54.2368,95.2908,100.542,94.9509,,,,,,,,,,
143,126496553,46939874,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,50,,V9L,12,7.009,21,34.6898,96.6019,,102.469,113.366,86.6344,,,,,,,,,,,
144,126496554,53469897,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,X0B,0.1,0.069,0.156,0,-0.0148,,34.1849,94.2538,100,,,,,,,,,,,
145,126496546,53469883,CN(CCN1CCC(CC1)N2C3=CC=CC=C3NC2=O)C(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,,VL0,2.06,1.192,3.557,11.8233,50.4992,,90.155,103.181,96.8192,,,,,,,,,,,
146,126496547,53469885,CN(CCN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)C(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,VL1,20,,,95.4927,112.369,,127.247,83.4236,81.4682,,,,,,,,,,,
147,126531494,53481919,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC5=CC=CC=C5C=C4.Cl,Active,100,,5W0,0.02,0.032,0.012,0.662457,3.7914,0.924877,,48.2407,75.7769,100.57,99.4302,,,,,31.5608,,,,
