PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AbsAC30_Qualifier,AbsAC30_uM,pAbsAC30_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AbsAC30_Qualifier_TEST1,AbsAC30_uM_TEST1,pAbsAC30_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.16uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_1.2uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_10uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AbsAC30_Qualifier_TEST2,AbsAC30_uM_TEST2,pAbsAC30_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.12uM_(%)_TEST2,Activity_at_0.135uM_(%)_TEST2,Activity_at_0.15uM_(%)_TEST2,Activity_at_0.16uM_(%)_TEST2,Activity_at_0.18uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.35uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_0.68uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.2uM_(%)_TEST2,Activity_at_1.35uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_2.6uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_5uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_10uM_(%)_TEST2,Activity_at_11uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2,Activity_at_21uM_(%)_TEST2,Activity_at_23.5uM_(%)_TEST2
1201,131456479,54660007,CCNC(=O)C[C@H]1CC[C@H]2[C@H](O1)COC[C@H](CN2C(=O)C3CCCC3)O,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,14,48.486,0.16,19.5,,,,48.486,,,,33.065,,,,4.038,,,,11.431,,,,-29.894,,,,-28.198,,,,3.377,,,,14.738,,
1202,87542729,44619523,C[C@@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC4=C(C=C3)OCO4)[C@@H](C)CO)C)CN(C)S(=O)(=O)C5=C(ON=C5C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.77554,5.77554,14,25.362,19.5,19.5,,,,6.144,,,,6.086,,,,18.7,,,,10.983,,,,-3.553,,,,8.11,,,,-9.373,,,,25.362,,
1203,85805804,44498852,C[C@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)NC3=C(ON=C3C)C)O[C@H]1CN(C)S(=O)(=O)C4=CC=C(C=C4)F)[C@@H](C)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,7.93962,7.93962,14,29.645,0.16,19.5,,,,29.645,,,,11.821,,,,3.674,,,,13.124,,,,3.187,,,,-0.847,,,,14.014,,,,-5.471,,
1204,85794052,44487575,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC(C)C)[C@H](C)CO)C)CN(C)S(=O)(=O)C3=C(ON=C3C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.09005,-2.09005,13,12.772,10,21,,,,-10.393,,,,-12.266,,,,-8.647,,,,7.71,,,,-0.891,,,,4.601,,,,12.772,,,,,-4.64,
1205,131412688,54617620,C[C@@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=C(ON=C3C)C)[C@@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=CC=C4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.06896,5.06896,11,22.866,5,19.5,,,,,,,,5.697,,,,-0.844,,,,13.688,,,,17.719,,,,22.866,,,,6.122,,,,-19.515,,
1206,131410340,54615304,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)C3CCCCC3)[C@H](C)CO)C)CN(C)C(=O)NC4=CC=C(C=C4)C(F)(F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-4.31468,-4.31468,13,-14.268,10,19.5,,,,0.711,,,,1.075,,,,-5.064,,,,-6.19,,,,-2.69,,,,-3.341,,,,-14.268,,,,-6.545,,
1207,144199567,60193434,C1C2(CN1C(=O)C3=CN=CC=C3)[C@@H]([C@H](N2CC4=CC=CC=C4)CO)C5=CC=CC=C5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.72842,1.72842,12,-10.26,21,21,,,,8.374,,,,4.241,,,,-5.737,,,,3.032,,,,5.231,,,,5.113,,,,-10.13,,,,,-10.26,
1208,131432877,54636613,CCCN1C[C@@H]([C@@H](CN(C(=O)C2=C(C=CC(=C2)NS(=O)(=O)C3=CN(C=N3)C)OC[C@@H]1C)C)OC)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.06263,1.06263,13,-10.758,10,19.5,,,,7.726,,,,3.97,,,,-1.793,,,,-4.308,,,,1.495,,,,7.18,,,,-10.758,,,,-5.035,,
1209,144197803,60191769,COC1=CC=CC=C1CN2[C@@H]([C@H](C23CN(C3)C(=O)C4=CC=CC=N4)C5=CC=CC=C5)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,19.5,4.71,0.942,0,100,12,17.534,19.5,19.5,,,,-1.903,,,,5.636,,,,-5.379,,,,3.329,,,,8.168,,,,2.285,,,,0.802,,,,17.534,,
1210,131457837,54661580,C1[C@@H]2[C@H]([C@@H](N([C@@H]2C3=CC=C(C(=O)N31)/C=C/C4=CC=CC=C4)C(=O)C5=NC=CN=C5)C(=O)O)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,10.7879,10.7879,14,21.649,0.6,19.5,,,1.547,,,,,20.161,,,,21.649,,,,11.226,,,,9.522,,,,12.04,,,,12.057,,,,8.217,,
1211,104170811,49843148,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Cl)[C@@H](C)CO)C)CN(C)CC4CC4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,12.5607,12.5607,10,23.09,2.6,19.5,,,,18.517,,,,19.94,,,,15.281,,,,5.6,,,,23.09,,,,-7.751,,,,,,,,6.237,,
1212,131463474,54667961,C/C=C/C1=CC=C(C=C1)[C@@H]2[C@H]3CN(CCCCN3[C@H]2CO)C(=O)CC4=CC=NC=C4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.63733,6.63733,11,19.122,0.6,19.5,,,,4.412,,,,9.778,,,,19.122,,,,,,,,7.594,,,,13.124,,,,14.268,,,,-8.535,,
1213,131456588,54660113,C1C[C@H]2[C@@H](COC[C@H](CN2CC3=CC(=CC=C3)C(F)(F)F)O)O[C@H]1CC(=O)NCC4=CC=C(C=C4)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.18331,2.18331,12,-24.552,5,19.5,,,,3.451,,,,5.312,,,,0.971,,,,15.009,,,,3.095,,,,-24.552,,,,-2.254,,,,9.507,,
1214,85794893,44488393,C[C@@H]1CN(C(=O)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=CC=C3)O[C@H]1CN(C)S(=O)(=O)C4=CC=C(C=C4)OC)[C@H](C)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.84386,-2.84386,12,-14.113,5,19.5,,,2.886,,,,,-1.815,,,,-2.151,,,,-10.426,,,2.858,,,,,-14.113,,,,6.972,,,,-7.042,,
1215,87543212,44620005,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C)[C@@H](C)CO)C)CNC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.35354,1.35354,13,-10.578,10,19.5,,,,0.7,,,,1.391,,,,-1.098,,,,8.781,,,,4.747,,,,3.469,,,,-10.578,,,,-0.061,,
1216,131457852,54661607,C1CCC(CC1)CNC(=O)[C@H]2[C@@H]([C@H]3CN4C(=O)C=CC=C4[C@@H]2N3CCC5=CC=CC=C5)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-3.04263,-3.04263,11,23.048,0.15,19.5,,,23.048,,,,,-10.056,,,,-2.353,,,,-17.742,,,-6.336,,,,,,,,,-4.306,,,,1.511,,
1217,131447485,54651076,C1CCC(=CC1)C2=CC=C(C=C2)[C@H]3[C@H](N([C@H]3C#N)S(=O)(=O)C4=CC=CC(=C4)F)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,19.5,4.71,2.03,0,100,11,25.403,19.5,19.5,,,,4.473,,,,2.047,,,,,,,,14.471,,,,-0.328,,,,-9.179,,,,11.48,,,,25.403,,
1218,131449814,54653392,COC1=CC=CC=C1CN2[C@@H]3CN(C4=CC=CC=C4[C@@H]3[C@H]2CO)C(=O)C5=CC=NC=C5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-6.49923,-6.49923,13,-20.64,0.16,21,,,,-20.64,,,,,,,,-20.451,,,,1.326,,,,2.964,,,,-2.098,,,,-10.426,,,,,1.867,
1219,85814103,44506939,C[C@@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)CN3C=NN=N3)O[C@@H]1CN(C)CC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5N)[C@H](C)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,18,4.745,0.965,0,100,12,48.501,9,18,,-18.703,,,,,,,,,-7.113,,,,5.177,,,-10.173,,,,6.794,,,,,48.501,,,,21.325,,,
1220,85789853,44483451,C[C@H]1CN(C(=O)C2=C(C=CC(=C2)NC(=O)CCCN(C)C)O[C@@H]1CN(C)S(=O)(=O)C3=CC=C(C=C3)Cl)[C@@H](C)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.54992,3.54992,13,27.227,0.16,21,,,,27.227,,,,-0.257,,,,,0.824,,,,5.658,,,8.023,,,,8.031,,,,5.065,,,,,-11.339,
1221,131456537,54660063,CCNC(=O)C[C@H]1CC[C@H]2[C@H](O1)COC[C@@H](CN2CC3=CC(=C(C=C3)Cl)Cl)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.87387,6.87387,15,16.748,10,19.5,,,,-8.439,,,,4.777,,,,4.093,,,,14.231,,,,14.977,,,,-9.783,,,,16.748,,,,10.058,,
1222,131455258,54658800,CCCNC(=O)C[C@H]1CC[C@@H]2[C@@H](O1)COC[C@@H](CN2C(=O)CC)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,21.06,21.06,14,36.814,19.5,19.5,,,,3.811,,,,24.867,,,,6.965,,,,28.535,,,,30.577,,,,0.134,,,,30.051,,,,36.814,,
1223,131450064,54653642,C1COCCC1C(=O)N2C[C@@H]3[C@@H]([C@@H](N3C(=O)C4=CC=CC=C4)CO)C5=CC=CC=C52,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-6.72786,-6.72786,14,-22.401,5,19.5,,,-7.211,,,,,10.633,,,,-9.647,,,,18.357,,,-16.603,,,,,-22.401,,,,-9.541,,,,-12.705,,
1224,87541989,44618784,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)OC)[C@@H](C)CO)C)CN(C)C(=O)NC4=CC=C(C=C4)C(F)(F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,19.5,4.71,0.818,0,100,12,20.996,19.5,19.5,,,,6.802,,,,-11.355,,,,17.921,,,,9.234,,,,-7.488,,,,7.263,,,,12.897,,,,20.996,,
1225,131458819,54662890,C1CCN(C1)CCNC(=O)[C@@H]2[C@H]([C@@H]3CN4C(=CC=C(C4=O)C5=CC=CC=C5)[C@@H]3N2)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.07228,-1.07228,12,-8.264,10,19.5,,,,-2.063,,,,1.434,,,,-0.121,,,,-2.017,,,,-7.166,,,,3.681,,,,-8.264,,,,4.146,,
1226,131424896,54629188,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C3=CCCCC3)O[C@H]1CN(C)C(=O)C4=CC=CC=C4)[C@H](C)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-9.18269,-9.18269,15,-19.414,19.5,19.5,,,,1.931,,,,-5.707,,,,-7.851,,,,-13.513,,,,-11.633,,,,-5.902,,,,-10.707,,,,-19.414,,
1227,85802839,44495987,C[C@@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=C(ON=C3C)C)[C@@H](C)CO)C)CN(C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.93923,6.93923,12,24.195,1.2,19.5,,,,14.31,,,,14.565,,,,,,,,24.195,,,,-1.255,,,,6.388,,,,1.979,,,,-7.078,,
1228,87540713,44617509,C[C@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)CC3=CC=CC=C3)[C@@H](C)CO)C)CN(C)C(=O)NC4=CC=CC5=CC=CC=C54,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-4.47496,-4.47496,13,-14.299,0.3,19.5,,,,-1.014,,,,-14.299,,,,4.32,,,,-9.058,,,,4.841,,,,-1.087,,,,-6.962,,,,-8.48,,
1229,131438010,54641687,COC1=CC=C(C=C1)NC(=O)N[C@@H]2CC[C@H](O[C@@H]2CO)CCNS(=O)(=O)C3=CC(=CC=C3)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.7203,6.7203,10,13.94,0.16,19.5,,,,13.94,,,,13.889,,,,-1.345,,,,13.688,,,,2.481,,,,11.232,,,,,,,,-1.552,,
1230,131442872,54646498,CN(C)CC(=O)NC1=CC2=C(C=C1)O[C@@H]3[C@H]2C[C@H](O[C@@H]3CO)CC(=O)NC4CCCCC4,Active,51,,,=,8.06,5.094,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.06,5.094,0.5,0,100,13,45.702,19.5,19.5,,,,11.687,,,,15.739,,,,9.727,,,,12.754,,,,,,,,17.344,,,,30.484,,,,45.702,,
1231,131458563,54662558,CCCN1[C@@H]2[C@@H](CN3C2=CC=C(C3=O)C4=CCCC4)[C@@H]([C@H]1C(=O)OC)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.41872,6.41872,14,21.708,0.16,19.5,,,,21.708,,,,-0.41,,,,15.534,,,,-12.863,,,,-8.316,,,,11.932,,,,12.298,,,,8.656,,
1232,144197679,60191648,CC(=O)N1[C@@H]([C@@H](C12CN(C2)C(=O)CN3CCOCC3)C4=CC=CC=C4)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.33536,5.33536,14,12.762,5,19.5,,,9.23,,,,,1.362,,,,2.278,,,,4.63,,,8.569,,,,,12.762,,,,0.571,,,,6.642,,
1233,131447423,54651014,C1CC(C1)C(=O)N2[C@H]([C@H]([C@H]2C#N)C3=CC=C(C=C3)C#CC4=CC=CC=C4F)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.97279,4.97279,13,27.163,0.6,19.5,,,16.855,,,,,24.216,,,,27.163,,,,17.966,,,-9.785,,,,,-5.653,,,,-13.036,,,,-5.676,,
1234,131420146,54624640,C[C@@H]1CN(C(=O)C2=C(N=CC(=C2)C#CC3=CC=C(C=C3)F)O[C@@H]1CN(C)C)[C@H](C)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.12746,6.12746,14,24.678,19.5,19.5,,,,8.314,,,,5.631,,,,6.079,,,,3.213,,,,3.264,,,,5.487,,,,-2.869,,,,24.678,,
1235,131447054,54650645,CC1=CC=CC=C1S(=O)(=O)N2[C@H]([C@H]([C@H]2C#N)C3=CC=CC=C3)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,7.18651,7.18651,14,17.471,0.68,21,,,,6.771,,,,3.757,,,,,17.471,,,,7.415,,,16.532,,,,10.54,,,,-9.35,,,,,7.313,
1236,85803120,44496259,C[C@H]1CN(C(=O)C2=C(C(=CC=C2)NS(=O)(=O)C3=CC=C(C=C3)OC)O[C@H]1CN(C)S(=O)(=O)C)[C@@H](C)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,7.56024,7.56024,13,18.212,0.3,19.5,,,3.09,,,,,18.212,,,,2.163,,,,2.375,,,,,,,,7.535,,,,0.485,,,,16.468,,
1237,131458125,54661948,CCCN1[C@@H]2[C@@H](CN3C2=CC=C(C3=O)C4=CC=CC=C4)[C@@H]([C@H]1C(=O)NCC(F)(F)F)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,19.5,4.71,4,0,100,13,12.231,0.3,19.5,,,,6.047,,,,12.231,,,,-11.34,,,,-0.121,,,,-5.204,,,,0.107,,,,-4.966,,,,9.562,,
1238,131457853,54661608,C1CCC(CC1)CNC(=O)[C@@H]2[C@H]([C@@H]3CN4C(=O)C=CC=C4[C@H]2N3CCC5=CC=CC=C5)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.18423,5.18423,11,26.61,5,19.5,,,,-13.086,,,,0.886,,,,-8.713,,,,-4.141,,,,18.531,,,,26.61,,,,22.836,,,,4.122,,
1239,87543750,44620541,C[C@H]1CCCCO[C@@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)F)[C@@H](C)CO)C)CN(C)C(=O)CCCN(C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,17.4823,17.4823,13,39.332,2.6,19.5,,,,12.304,,,,13.01,,,,19.39,,,,15.914,,,,39.332,,,,,,,,19.921,,,,13.43,,
1240,87542418,44619212,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3CCCCC3)[C@H](C)CO)C)CN(C)C(=O)NC4=CC5=C(C=C4)OCO5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.56868,4.56868,11,14.708,0.16,19.5,,,,14.708,,,,,,,,4.775,,,,-0.174,,,,-0.672,,,,5.515,,,,1.055,,,,0.224,,
1241,85809384,44502309,C[C@@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)CCC(F)(F)F)[C@H](C)CO)C)CN(C)S(=O)(=O)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.73834,-2.73834,12,-16.145,0.15,19.5,,,-16.145,,,,,-2.071,,,,3.275,,,,1.087,,,,,,,,10.305,,,,2.792,,,,-9.976,,
1242,85802164,44495326,C[C@H]1CN(C(=O)C2=C(C(=CC=C2)NS(=O)(=O)C3=CC=CC=C3)O[C@H]1CN(C)C(=O)NC4=C(ON=C4C)C)[C@@H](C)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.95518,1.95518,13,20.853,2.6,19.5,,,,3.077,,,,-5.719,,,,19.565,,,,-8.519,,,,20.853,,,,-6.467,,,,17.07,,,,1.593,,
1243,131457066,54660585,CN1C=C(N=C1)S(=O)(=O)N2C[C@H](COC[C@H]3[C@H]2CC[C@@H](O3)CC(=O)NC4CCCC4)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.23773,1.23773,13,-20.979,0.6,19.5,,,,3.557,,,,-2.013,,,,-20.979,,,,-5.745,,,,6.902,,,,3.182,,,,18.634,,,,-13.978,,
1244,131438709,54642376,COC1=CC=C(C=C1)NC(=O)N[C@H]2CC[C@H](O[C@@H]2CO)CCN3C=C(N=N3)C4(CCCC4)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,12.9382,12.9382,11,20.072,0.3,19.5,,,,9.962,,,,20.072,,,,16.988,,,,17.458,,,,11.878,,,,13.462,,,,1.748,,,,9.917,,
1245,144199020,60192949,CN(C)CC(=O)N1[C@@H]([C@H](C12CN(C2)C(=O)C3=CC=CC=C3)C4=CC=CC=C4)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-7.20825,-7.20825,12,-20.768,0.16,19.5,,,,-20.768,,,,-13.009,,,,-11.206,,,,-8.658,,,,-7.26,,,,-3.286,,,,7.809,,,,-2.583,,
1246,131411941,54616886,C[C@@H]1CCCCO[C@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)C3=CC=CC=C3)[C@@H](C)CO)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.19537,-2.19537,13,-29.704,0.16,19.5,,,,-29.704,,,,-3.121,,,,2.536,,,,0.003,,,,3.974,,,,7.387,,,,-4.375,,,,-0.86,,
1247,131455260,54658802,CNC(=O)C[C@H]1CC[C@@H]2[C@@H](O1)COC[C@H](CN2C(=O)NC3=CC4=C(C=C3)OCO4)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,19.4515,19.4515,13,30.793,2.6,19.5,,,,28.535,,,,27.657,,,,22.294,,,,26.849,,,,30.793,,,,-3.674,,,,8.349,,,,13.02,,
1248,85794134,44487656,C[C@@H]1CN(C(=O)C2=C(C=CC(=C2)NC(=O)CC3=CN(C4=CC=CC=C43)C)O[C@H]1CN(C)C(=O)NC(C)C)[C@@H](C)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.47133,5.47133,11,14.388,1.2,19.5,,,,12.061,,,,1.098,,,,9.823,,,,14.388,,,,4.706,,,,10.971,,,,,,,,-10.3,,
1249,131460576,54665063,C1CN([C@H]2[C@@H]1[C@H](NC3=C2C=C(C=C3)C4=CC(=CC=C4)F)CO)C(=O)C5CCOCC5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.68162,6.68162,12,16.254,0.16,19.5,,,,16.254,,,,15.009,,,,9.502,,,,6.553,,,,5.825,,,,6.804,,,,2.794,,,,-4.081,,
1250,131418606,54623176,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CC3=CC=CC=C3)O[C@@H]1CN(C)C(=O)C4CC4)[C@H](C)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,11.8253,11.8253,14,38.567,5,19.5,,,,0.947,,,,10.19,,,,-4.82,,,,16.404,,,,18.862,,,,38.567,,,,25.651,,,,-7.482,,
1251,85805133,44498226,C[C@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)CC3=CC=CC=C3)[C@H](C)CO)C)CN(C)S(=O)(=O)C4=CN(C=N4)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.699483,0.699483,11,-11.192,0.3,19.5,,,,-4.647,,,,-11.192,,,,7.764,,,,-5.914,,,,-2.575,,,,-6.317,,,,7.767,,,,9.846,,
1252,131420675,54625129,C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C3=CC=NC=C3)O[C@H]1CN(C)C(=O)CC4CC4)[C@@H](C)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-5.52499,-5.52499,12,-17.116,19.5,19.5,,,0.117,,,,,-2.721,,,,-3.505,,,,1.076,,,,,,,,-10.342,,,,-5.291,,,,-17.116,,
1253,144196458,60190437,CCC(=O)N1CC2(C1)CN([C@@H](C3=C2C4=C(N3C)C=C(C=C4)OC)CO)C(=O)NC5=CC=C(C=C5)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.28683,1.28683,12,20.093,2.6,19.5,,,,-6.28,,,,12.725,,,,-3.003,,,,9.702,,,,20.093,,,,-10.857,,,,-4.162,,,,5.797,,
1254,85792277,44485825,C[C@@H]1CCCCO[C@@H]([C@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=C(ON=C3C)C)[C@@H](C)CO)C)CN(C)C(=O)CCCN(C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,8.55623,8.55623,14,28.815,0.16,19.5,,,,28.815,,,,24.444,,,,7.528,,,,-0.814,,,,-11.425,,,,-6.094,,,,-0.215,,,,15.706,,
1255,144193739,60187980,CCN1[C@@H]2[C@@H](CN3C2=CC=C(C3=O)C4=CC(=CC=C4)F)[C@@H]([C@H]1C(=O)NCCCN(C)C)CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.01674,4.01674,14,11.995,19.5,19.5,,,,3.269,,,,2.945,,,,-6.544,,,,-3.509,,,,11.247,,,,3.47,,,,3.944,,,,11.995,,
1256,131460827,54665314,CCC(=O)N1CC[C@H]2[C@@H]1C3=C(C=CC(=C3)C4=CC=CC(=C4)C#N)N[C@H]2CO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,19.5,4.71,4,0,100,14,22.895,19.5,19.5,,,-4.601,,,,,0.329,,,,4.92,,,,12.769,,,-6.163,,,,,-8.085,,,,1.905,,,,22.895,,
