PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AbsAC30_Qualifier,AbsAC30_uM,pAbsAC30_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AbsAC30_Qualifier_TEST1,AbsAC30_uM_TEST1,pAbsAC30_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.16uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_1.2uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_10uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AbsAC30_Qualifier_TEST2,AbsAC30_uM_TEST2,pAbsAC30_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.12uM_(%)_TEST2,Activity_at_0.135uM_(%)_TEST2,Activity_at_0.15uM_(%)_TEST2,Activity_at_0.16uM_(%)_TEST2,Activity_at_0.18uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.35uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_0.68uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.2uM_(%)_TEST2,Activity_at_1.35uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_2.6uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_5uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_10uM_(%)_TEST2,Activity_at_11uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2,Activity_at_21uM_(%)_TEST2,Activity_at_23.5uM_(%)_TEST2
655,14738101,4247296,CCC1=CC=C(C=C1)NC(=O)N(CCCN2CCOCC2)CC3=CC=CS3,Inactive,0,,,,,,1,0,,,,,,4.60595,4.60595,13,28.517,0.3,19.5,11.872,28.517,3.224,-1.427,-1.958,-4.326,10.728,-13.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,51089548,7385119,COC1=CC=CC(=C1)NC(=O)COC2=CC=CC3=C2CCNC3=O,Inactive,0,,,,,,1,0,,,,,,-5.85233,-5.85233,15,-18.131,2.6,19.5,-1.188,-2.695,1.133,2.499,-18.131,-14.055,-9.145,-1.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,24806848,744769,CC1(CC(CC(N1)(C)C)NC(=O)COC2=CC=CC=C2Cl)C,Inactive,0,,,,,,1,0,,,,,,27.6835,27.6835,11,57.809,10,19.5,22.068,10.652,34.869,23.071,23.29,46.588,57.809,17.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,17505966,54681788,CCCN1C2=CC=CC=C2C(=C(C1=O)C(=O)NNS(=O)(=O)C3=CC=C(C=C3)C)O,Inactive,0,,,,,,1,0,,,,,,8.2012,8.2012,10,19.054,0.6,19.5,18.274,,19.054,4.352,9.623,,-0.137,1.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,49725024,66721,COC1=CC=C(C=C1)NC(=O)C2=CC3=CC=CC=C3C=C2O,Inactive,0,,,,,,1,0,,,,,,6.64851,6.64851,10,16.593,19.5,19.5,-0.144,,13.343,12.883,,-15.105,-1.952,16.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,103050378,42906105,CC1=CC(=NC(=N1)C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CC3=CC(=C(C=C3)OC)OC.C(=O)(C(=O)O)O,Inactive,0,,,,,,1,0,,,,,,-1.47417,-1.47417,14,-16.217,2.6,19.5,0.076,-7.626,-12.153,-3.897,-16.217,-0.557,13.744,2.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,49642358,6907975,COC1=C(C2=CC=CC=C2C=C1)/C=N/NC(=O)C3=CC=CC=C3F,Inactive,0,,,,,,1,0,,,,,,2.84221,2.84221,13,10.779,10,19.5,-2.387,4.027,-1.016,-4.556,9.982,10.203,10.779,3.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,124754017,53300026,CCOC(=O)[C@]12CCC=C1N(C(=O)[C@@H](C2)CC(=O)N3CCCC3)CC4=CC=CC=C4,Inactive,0,,,,,,1,0,,,,,,-9.47897,-9.47897,15,-16.473,1.2,19.5,-6.406,-2.72,-4.027,-16.473,-9.887,-14.047,-12.929,-6.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,49821639,8073895,CC1=NN=C(S1)NC(=O)CCN2C3=C(C=CC(=C3)Cl)OC2=O,Inactive,0,,,,,,1,0,,,,,,0.808787,0.808787,10,-9.55,19.5,19.5,7.184,-1.101,-0.612,9.515,0.204,-2.54,7.354,-9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,22401816,135505352,CCN(CC)C1=CC(=C(C=C1)/C=N/N2C(=O)C3=CC=CC=C3C2=O)O,Inactive,0,,,,,,1,0,,,,,,2.87751,2.87751,10,8.007,1.2,19.5,6.98,7.911,,8.007,,-0.877,,-7.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
