PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Calu_1_Mean,Calu_1[1],Calu_1[2],Calu_1[3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT
76,126496600,46939876,C1CN(CCC12C(=O)NCN2C3=CC(=C(C=C3)F)F)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,11RV_lib_27,101.277,97.5879,99.7612,106.483
77,126496601,53469965,CN1CN(C2(C1=O)CCN(CC2)CCNC(=O)C3=CC4=CC=CC=C4C=C3)C5=CC=CC=C5,Inactive,0,,11WX_lib_27,97.9005,84.477,103.883,105.341
78,126496602,46939580,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,TM9_lib_26,75.199,67.3715,74.7789,83.4466
79,126496603,53469966,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,TP6_lib_26,60.4674,54.8191,61.2175,65.3654
80,126496604,46939877,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,TLN_lib_26,78.2025,78.8452,76.511,79.2514
81,126496605,46938536,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,TPH_lib_26,48.0643,56.016,42.9469,45.2299
82,126496606,53469967,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Active,100,,TMK_lib_26,32.3091,30.2643,28.6279,38.035
83,126496607,53469969,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=C(C=C4)C=C(C=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,TMA_lib_26,94.6318,92.4755,91.9959,99.4239
84,126496608,46939673,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,T8C_lib_26,92.7129,88.6488,95.3282,94.1616
85,126496609,53469971,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,T83_lib_26,94.0503,91.4091,95.0023,95.7395
