bit,active_count,inactive_count,P_active,P_inactive,enrichment,log_odds
951,4,5,0.0016638935108153079,0.0019091256204658267,0.871547427693404,-0.13748499474159648
17,4,5,0.0016638935108153079,0.0019091256204658267,0.871547427693404,-0.13748499474159648
1889,4,5,0.0016638935108153079,0.0019091256204658267,0.871547427693404,-0.13748499474159648
139,4,5,0.0016638935108153079,0.0019091256204658267,0.871547427693404,-0.13748499474159648
225,4,5,0.0016638935108153079,0.0019091256204658267,0.871547427693404,-0.13748499474159648
161,4,5,0.0016638935108153079,0.0019091256204658267,0.871547427693404,-0.13748499474159648
1891,4,5,0.0016638935108153079,0.0019091256204658267,0.871547427693404,-0.13748499474159648
77,4,5,0.0016638935108153079,0.0019091256204658267,0.871547427693404,-0.13748499474159648
42,4,5,0.0016638935108153079,0.0019091256204658267,0.871547427693404,-0.13748499474159648
1510,4,5,0.0016638935108153079,0.0019091256204658267,0.871547427693404,-0.13748499474159648
1935,8,10,0.0033277870216306157,0.0038182512409316535,0.8715474243292312,-0.13748499860159621
634,8,10,0.0033277870216306157,0.0038182512409316535,0.8715474243292312,-0.13748499860159621
1755,8,10,0.0033277870216306157,0.0038182512409316535,0.8715474243292312,-0.13748499860159621
1151,12,15,0.004991680532445923,0.0057273768613974796,0.8715474232078403,-0.1374849998882627
729,12,15,0.004991680532445923,0.0057273768613974796,0.8715474232078403,-0.1374849998882627
607,16,20,0.0066555740432612314,0.007636502481863307,0.8715474226471447,-0.13748500053159615
442,20,25,0.008319467554076539,0.009545628102329133,0.8715474223107273,-0.1374850009175962
1422,20,25,0.008319467554076539,0.009545628102329133,0.8715474223107273,-0.1374850009175962
1197,24,30,0.009983361064891847,0.011454753722794959,0.8715474220864493,-0.13748500117492932
317,68,85,0.028286189683860232,0.03245513554791905,0.8715474213608433,-0.13748500200747843
728,124,156,0.051580698835274545,0.05956471935853379,0.8659605787480062,-0.14391589253202278
273,81,102,0.03369384359400998,0.038946162657502864,0.8651389843924729,-0.14486510935896452
1917,1552,1962,0.6455906821963394,0.7491408934707904,0.8617747179961336,-0.14876139050812
1317,60,76,0.024958402662229616,0.029018709431080564,0.8600796922240065,-0.15073022865100272
1039,620,786,0.2579034941763727,0.30011454753722794,0.8593501924742447,-0.15157876548291974
1760,26,33,0.010815307820299502,0.012600229095074456,0.8583421581352904,-0.15275247328259428
486,838,1065,0.348585690515807,0.4066437571592211,0.8572262192472216,-0.15405342876787062
1118,11,14,0.004575707154742097,0.005345551737304314,0.8559840768562373,-0.1555035048168717
334,25,32,0.010399334442595673,0.012218403970981291,0.851120529504675,-0.16120152764728726
1602,195,250,0.08111480865224625,0.09545628102329133,0.8497587355983245,-0.16280281026066548
1577,7,9,0.0029118136439267887,0.003436426116838488,0.8473377748251663,-0.1656558741854354
1481,7,9,0.0029118136439267887,0.003436426116838488,0.8473377748251663,-0.1656558741854354
425,7,9,0.0029118136439267887,0.003436426116838488,0.8473377748251663,-0.1656558741854354
956,7,9,0.0029118136439267887,0.003436426116838488,0.8473377748251663,-0.1656558741854354
1595,7,9,0.0029118136439267887,0.003436426116838488,0.8473377748251663,-0.1656558741854354
899,14,18,0.005823627287853577,0.006872852233676976,0.847337772603931,-0.1656558768068638
1809,28,36,0.011647254575707155,0.013745704467353952,0.8473377714933132,-0.1656558781175781
1989,35,45,0.014559068219633943,0.01718213058419244,0.8473377712711895,-0.1656558783797212
1745,171,220,0.07113144758735442,0.08400152730049637,0.8467875512336707,-0.16630544078169454
1971,24,31,0.009983361064891847,0.011836578846888126,0.8434329893534401,-0.17027482371630748
1065,24,31,0.009983361064891847,0.011836578846888126,0.8434329893534401,-0.17027482371630748
769,17,22,0.007071547420965058,0.008400152730049638,0.8418355789513976,-0.1721705582128552
287,17,22,0.007071547420965058,0.008400152730049638,0.8418355789513976,-0.1721705582128552
1773,71,92,0.029534109816971715,0.03512791141657121,0.8407590614386318,-0.1734501506159348
445,23,30,0.00956738768718802,0.011454753722794959,0.8352329465299306,-0.18004461515821796
1114,735,959,0.3057404326123128,0.36617029400534556,0.8349678759696237,-0.18036202676401
327,13,17,0.005407653910149751,0.006491027109583811,0.8330968020231849,-0.18260543465564036
1322,13,17,0.005407653910149751,0.006491027109583811,0.8330968020231849,-0.18260543465564036
701,39,51,0.01622296173044925,0.019473081328751432,0.8330968003089909,-0.1826054367132572
1823,78,102,0.0324459234608985,0.038946162657502864,0.8330967998804424,-0.18260543722766145
1754,716,939,0.2978369384359401,0.35853379152348225,0.8307081382407505,-0.18547676333816304
1475,32,42,0.013311148086522463,0.016036655211912942,0.8300451638836548,-0.18627516535424235
1181,57,75,0.023710482529118136,0.0286368843069874,0.8279700505175339,-0.18877829612360272
1538,25,33,0.010399334442595673,0.012600229095074456,0.8253289985122546,-0.19197318606602956
270,34,45,0.014143094841930116,0.01718213058419244,0.823128120829727,-0.19464341505095661
1194,3,4,0.0012479201331114808,0.0015273004963726614,0.8170757191317093,-0.2020235089408351
1658,3,4,0.0012479201331114808,0.0015273004963726614,0.8170757191317093,-0.2020235089408351
1346,3,4,0.0012479201331114808,0.0015273004963726614,0.8170757191317093,-0.2020235089408351
1965,3,4,0.0012479201331114808,0.0015273004963726614,0.8170757191317093,-0.2020235089408351
